OUTCOME,NAME,TEAM_CITY,HOME,DATE,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,MIN,OREB,PF,PTS,REB,START_POSITION,STL,TO
0,Gerald Henderson,Philadelphia,0,11_28_16,2,0,1,2,0,0,7,0,0,0,0,0,17,0,1,0,1,F,0,1
0,Ersan Ilyasova,Philadelphia,0,11_28_16,3,0,6,3,1,33,8,4,50,2,2,100,23,0,1,11,6,F,0,1
0,Jahlil Okafor,Philadelphia,0,11_28_16,0,1,2,0,0,0,14,7,50,2,1,50,25,3,1,15,5,C,0,0
0,Robert Covington,Philadelphia,0,11_28_16,2,0,3,9,6,67,11,7,64,0,0,0,32,2,4,20,5,G,2,3
0,Sergio Rodriguez,Philadelphia,0,11_28_16,7,0,2,3,2,67,7,4,57,1,1,100,28,1,2,11,3,G,2,4
0,Dario Saric,Philadelphia,0,11_28_16,4,1,3,6,1,17,13,3,23,4,1,25,24,1,1,8,4,N/A,0,2
0,Nik Stauskas,Philadelphia,0,11_28_16,2,0,0,6,3,50,9,4,44,0,0,0,29,0,2,11,0,N/A,0,0
0,Richaun Holmes,Philadelphia,0,11_28_16,1,0,5,3,1,33,10,4,40,2,2,100,23,4,3,11,9,N/A,2,2
0,T.J. McConnell,Philadelphia,0,11_28_16,4,1,2,0,0,0,3,2,67,2,2,100,20,0,4,6,2,N/A,2,1
0,Hollis Thompson,Philadelphia,0,11_28_16,1,0,1,1,0,0,3,1,33,0,0,0,11,1,1,2,2,N/A,0,0
0,Timothe Luwawu-Cabarrot,Philadelphia,0,11_28_16,1,1,1,1,0,0,1,0,0,0,0,0,9,0,1,0,1,N/A,1,0
0,Jerryd Bayless,Philadelphia,0,11_28_16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Joel Embiid,Philadelphia,0,11_28_16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,DeMarre Carroll,Toronto,1,11_28_16,3,2,4,3,2,67,5,4,80,0,0,0,21,1,2,10,5,F,1,0
0,Pascal Siakam,Toronto,1,11_28_16,0,1,2,0,0,0,6,4,67,4,3,75,23,0,2,11,2,F,1,1
0,Jonas Valanciunas,Toronto,1,11_28_16,0,2,8,0,0,0,12,6,50,0,0,0,22,3,1,12,11,C,1,1
0,DeMar DeRozan,Toronto,1,11_28_16,5,1,5,0,0,0,13,4,31,6,6,100,31,0,1,14,5,G,1,3
0,Kyle Lowry,Toronto,1,11_28_16,8,0,4,6,6,100,9,7,78,5,4,80,32,0,0,24,4,G,1,3
0,Cory Joseph,Toronto,1,11_28_16,2,0,4,1,0,0,10,4,40,0,0,0,24,0,3,8,4,N/A,1,1
0,Terrence Ross,Toronto,1,11_28_16,0,0,2,5,3,60,11,8,73,3,3,100,23,1,0,22,3,N/A,0,0
0,Lucas Nogueira,Toronto,1,11_28_16,0,1,2,0,0,0,2,1,50,6,4,67,22,2,1,6,4,N/A,1,1
0,Patrick Patterson,Toronto,1,11_28_16,1,0,2,4,2,50,5,3,60,0,0,0,20,0,1,8,2,N/A,2,0
0,Norman Powell,Toronto,1,11_28_16,3,1,0,0,0,0,3,1,33,3,3,100,11,0,2,5,0,N/A,1,1
0,Jakob Poeltl,Toronto,1,11_28_16,0,0,0,0,0,0,0,0,0,4,2,50,4,1,1,2,1,N/A,0,1
0,Fred VanVleet,Toronto,1,11_28_16,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,N/A,0,0
0,Bruno Caboclo,Toronto,1,11_28_16,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,N/A,1,0
,,,,,,,,,,,,,,,,,,,,,,,,
0,LeBron James,Cleveland,0,11_05_16,14,1,7,5,1,20,23,9,39,7,6,86,36,1,1,25,8,F,2,5
0,Kevin Love,Cleveland,0,11_05_16,1,1,10,5,2,40,16,8,50,3,2,67,38,1,1,20,11,F,0,2
0,Tristan Thompson,Cleveland,0,11_05_16,0,2,7,0,0,0,6,3,50,2,1,50,30,6,2,7,13,C,0,0
0,JR Smith,Cleveland,0,11_05_16,1,1,1,7,3,43,7,3,43,2,2,100,32,0,2,11,1,G,3,1
0,Kyrie Irving,Cleveland,0,11_05_16,2,0,6,5,0,0,17,3,18,3,2,67,34,1,2,8,7,G,2,4
0,Iman Shumpert,Cleveland,0,11_05_16,3,0,2,2,1,50,4,3,75,0,0,0,26,1,1,7,3,N/A,1,1
0,Richard Jefferson,Cleveland,0,11_05_16,0,0,3,2,1,50,4,2,50,1,1,100,14,0,1,6,3,N/A,0,1
0,Channing Frye,Cleveland,0,11_05_16,2,0,2,8,4,50,9,4,44,0,0,0,18,0,3,12,2,N/A,2,0
0,Mike Dunleavy,Cleveland,0,11_05_16,0,0,0,4,2,50,5,2,40,0,0,0,13,1,2,6,1,N/A,0,2
0,Chris Andersen,Cleveland,0,11_05_16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Kay Felder,Cleveland,0,11_05_16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,James Jones,Cleveland,0,11_05_16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Jordan McRae,Cleveland,0,11_05_16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Robert Covington,Philadelphia,1,11_05_16,0,2,8,9,1,11,10,1,10,2,1,50,30,0,2,4,8,F,3,2
0,Dario Saric,Philadelphia,1,11_05_16,2,0,7,1,0,0,5,1,20,2,1,50,18,0,4,3,7,F,0,1
0,Joel Embiid,Philadelphia,1,11_05_16,2,4,4,4,4,100,13,7,54,4,4,100,25,2,3,22,6,C,1,6
0,Gerald Henderson,Philadelphia,1,11_05_16,1,0,2,4,1,25,9,5,56,0,0,0,24,0,5,11,2,G,2,2
0,Sergio Rodriguez,Philadelphia,1,11_05_16,11,0,6,5,1,20,9,3,33,0,0,0,31,0,1,7,6,G,2,3
0,Ersan Ilyasova,Philadelphia,1,11_05_16,0,0,2,6,4,67,13,8,62,2,1,50,28,2,3,21,4,N/A,0,0
0,Jahlil Okafor,Philadelphia,1,11_05_16,0,3,5,0,0,0,11,7,64,2,0,0,23,0,1,14,5,N/A,1,1
0,Nik Stauskas,Philadelphia,1,11_05_16,1,0,2,4,1,25,5,2,40,0,0,0,19,0,0,5,2,N/A,0,0
0,T.J. McConnell,Philadelphia,1,11_05_16,3,0,2,0,0,0,5,3,60,0,0,0,17,1,1,6,3,N/A,0,1
0,Hollis Thompson,Philadelphia,1,11_05_16,1,0,2,5,2,40,6,3,50,0,0,0,20,0,3,8,2,N/A,0,1
0,Timothe Luwawu-Cabarrot,Philadelphia,1,11_05_16,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,N/A,0,0
0,Richaun Holmes,Philadelphia,1,11_05_16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,
0,Joe Ingles,Utah,1,04_15_15,2,0,2,3,0,0,6,0,0,0,0,0,17,0,2,0,2,F,1,2
0,Derrick Favors,Utah,1,04_15_15,1,0,1,1,0,0,6,2,33,1,0,0,9,3,2,4,4,F,0,2
0,Rudy Gobert,Utah,1,04_15_15,0,3,5,0,0,0,6,3,50,2,2,100,24,3,0,8,8,C,1,2
0,Rodney Hood,Utah,1,04_15_15,2,1,2,3,2,67,12,4,33,0,0,0,22,0,3,10,2,G,1,2
0,Dante Exum,Utah,1,04_15_15,0,1,2,3,0,0,6,2,33,0,0,0,17,0,1,4,2,G,0,2
0,Trey Burke,Utah,1,04_15_15,4,0,1,5,1,20,11,1,9,2,1,50,19,1,1,4,2,N/A,2,1
0,Jeremy Evans,Utah,1,04_15_15,3,0,2,1,0,0,9,4,44,3,2,67,22,4,1,10,6,N/A,2,0
0,Elijah Millsap,Utah,1,04_15_15,7,0,4,4,1,25,8,3,38,4,2,50,25,0,2,9,4,N/A,2,0
0,Chris Johnson,Utah,1,04_15_15,0,0,2,4,1,25,10,6,60,0,0,0,30,0,1,13,2,N/A,1,1
0,Bryce Cotton,Utah,1,04_15_15,3,0,3,2,0,0,14,7,50,0,0,0,25,0,1,14,3,N/A,0,2
0,Jack Cooley,Utah,1,04_15_15,0,1,3,0,0,0,7,3,43,5,2,40,17,3,4,8,6,N/A,1,0
0,Grant Jerrett,Utah,1,04_15_15,1,0,3,1,0,0,6,3,50,1,1,100,13,0,3,7,3,N/A,1,0
0,Trevor Booker,Utah,1,04_15_15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Trevor Ariza,Houston,0,04_15_15,3,0,2,5,1,20,8,2,25,2,1,50,23,1,0,6,3,F,1,0
0,Terrence Jones,Houston,0,04_15_15,3,3,2,1,1,100,6,6,100,4,2,50,20,0,2,15,2,F,0,1
0,Dwight Howard,Houston,0,04_15_15,0,2,6,0,0,0,7,6,86,4,2,50,21,2,0,14,8,C,0,2
0,James Harden,Houston,0,04_15_15,10,1,11,5,2,40,8,3,38,8,8,100,27,0,2,16,11,G,1,6
0,Jason Terry,Houston,0,04_15_15,2,1,2,4,3,75,6,3,50,0,0,0,22,0,2,9,2,G,2,0
0,Clint Capela,Houston,0,04_15_15,1,2,6,0,0,0,4,3,75,4,2,50,17,0,5,8,6,N/A,0,0
0,Josh Smith,Houston,0,04_15_15,2,3,2,5,3,60,9,4,44,4,2,50,18,0,1,13,2,N/A,1,1
0,Pablo Prigioni,Houston,0,04_15_15,2,0,4,2,2,100,3,3,100,0,0,0,20,1,2,8,5,N/A,1,1
0,Corey Brewer,Houston,0,04_15_15,3,1,3,3,0,0,15,6,40,2,2,100,23,0,0,14,3,N/A,3,1
0,Joey Dorsey,Houston,0,04_15_15,1,0,3,0,0,0,1,1,100,2,1,50,14,0,0,3,3,N/A,0,1
0,Nick Johnson,Houston,0,04_15_15,0,0,1,0,0,0,3,2,67,2,2,100,14,0,2,6,1,N/A,0,3
0,Kostas Papanikolaou,Houston,0,04_15_15,1,0,1,2,0,0,2,0,0,0,0,0,12,0,2,0,1,N/A,0,2
0,KJ McDaniels,Houston,0,04_15_15,0,0,2,1,0,0,4,2,50,2,1,50,9,0,1,5,2,N/A,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0,Otto Porter Jr.,Washington,1,03_28_17,1,0,3,3,1,33,9,7,78,1,1,100,30,1,2,16,4,F,0,0
0,Markieff Morris,Washington,1,03_28_17,0,0,5,3,0,0,9,4,44,0,0,0,27,1,4,8,6,F,1,0
0,Marcin Gortat,Washington,1,03_28_17,1,1,6,0,0,0,4,3,75,4,1,25,22,5,0,7,11,C,1,0
0,Bradley Beal,Washington,1,03_28_17,3,1,1,5,1,20,16,7,44,1,1,100,35,0,2,16,1,G,0,4
0,John Wall,Washington,1,03_28_17,14,0,3,4,1,25,25,14,56,5,5,100,37,0,3,34,3,G,4,3
0,Jason Smith,Washington,1,03_28_17,0,1,3,3,1,33,6,2,33,1,1,100,17,1,1,6,4,N/A,0,1
0,Ian Mahinmi,Washington,1,03_28_17,0,0,4,0,0,0,4,3,75,8,4,50,18,1,2,10,5,N/A,2,1
0,Kelly Oubre Jr.,Washington,1,03_28_17,1,0,1,2,2,100,11,5,46,2,2,100,26,4,3,14,5,N/A,1,0
0,Brandon Jennings,Washington,1,03_28_17,3,0,1,1,0,0,2,0,0,2,2,100,12,0,1,2,1,N/A,2,1
0,Bojan Bogdanovic,Washington,1,03_28_17,1,0,1,2,0,0,8,3,38,1,0,0,16,0,2,6,1,N/A,1,2
0,Trey Burke,Washington,1,03_28_17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Sheldon McClellan,Washington,1,03_28_17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Tomas Satoransky,Washington,1,03_28_17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Corey Brewer,Los Angeles,0,03_28_17,0,1,2,0,0,0,4,3,75,4,3,75,15,0,1,9,2,F,0,1
0,Julius Randle,Los Angeles,0,03_28_17,5,1,6,1,0,0,7,2,29,2,2,100,32,0,2,6,6,F,0,3
0,Ivica Zubac,Los Angeles,0,03_28_17,1,1,3,0,0,0,8,3,38,4,4,100,18,1,4,10,4,C,2,0
0,D'Angelo Russell,Los Angeles,0,03_28_17,9,1,5,12,4,33,21,10,48,4,4,100,40,1,1,28,6,G,0,4
0,Jordan Clarkson,Los Angeles,0,03_28_17,3,0,2,5,2,40,19,10,53,0,0,0,39,2,1,22,4,G,0,2
0,David Nwaba,Los Angeles,0,03_28_17,1,1,6,0,0,0,5,4,80,0,0,0,23,2,0,8,8,N/A,3,3
0,Larry Nance Jr.,Los Angeles,0,03_28_17,1,2,6,0,0,0,6,2,33,0,0,0,24,5,3,4,11,N/A,0,0
